word;n.total;r
alguien;6015;0.996598509459201
aire;5958;0.996585769794254
ciudad;5950;0.996573030129308
sabe;5871;0.996560290464361
sería;5858;0.996547550799414
razón;5803;0.996534811134467
tras;5750;0.99652207146952
quizá;5747;0.996509331804574
mujeres;5701;0.996496592139627
cuatro;5669;0.99648385247468
miró;5667;0.996471112809733
mil;5657;0.996458373144786
claro;5637;0.99644563347984
ningún;5630;0.996432893814893
cierto;5621;0.996420154149946
tienen;5609;0.996407414484999
contestó;5597;0.996394674820052
ninguna;5561;0.996381935155105
junto;5553;0.996369195490159
pueden;5551;0.996356455825212
demás;5548;0.996343716160265
camino;5538;0.996330976495318
realidad;5520;0.996318236830371
sol;5518;0.996305497165425
frente;5496;0.996292757500478
rostro;5485;0.996280017835531
suelo;5469;0.996267278170584
pasado;5458;0.996254538505637
corazón;5416;0.996241798840691
dinero;5407;0.996229059175744
muchas;5372;0.996216319510797
llegó;5347;0.99620357984585
nuestros;5341;0.996190840180903
voy;5332;0.996178100515957
sentido;5313;0.99616536085101
amor;5300;0.996152621186063
grandes;5299;0.996139881521116
buen;5291;0.996127141856169
esas;5276;0.996114402191222
llegar;5274;0.996101662526275
amigo;5262;0.996088922861329
hemos;5223;0.996076183196382
nueva;5210;0.996063443531435
ello;5206;0.996050703866488
dar;5205;0.996037964201541
vista;5168;0.996025224536595
decía;5160;0.996012484871648
quería;5145;0.995999745206701
puso;5136;0.995987005541754
dónde;5135;0.995974265876808
puesto;5121;0.995961526211861
mesa;5097;0.995948786546914
ti;5079;0.995936046881967
mío;5074;0.99592330721702
pie;5069;0.995910567552073
cinco;5068;0.995897827887127
según;5062;0.99588508822218
largo;5046;0.995872348557233
hoy;5038;0.995859608892286
será;5032;0.995846869227339
buena;5019;0.995834129562392
gracias;4979;0.995821389897446
guerra;4955;0.995808650232499
silencio;4949;0.995795910567552
paso;4934;0.995783170902605
vio;4932;0.995770431237658
bastante;4925;0.995757691572712
mirada;4891;0.995744951907765
quiere;4885;0.995732212242818
persona;4884;0.995719472577871
cama;4839;0.995706732912925
don;4789;0.995693993247978
pensar;4784;0.995681253583031
general;4752;0.995668513918084
habitación;4750;0.995655774253137
horas;4739;0.99564303458819
fuerza;4717;0.995630294923244
apenas;4669;0.995617555258297
niño;4637;0.99560481559335
primer;4632;0.995592075928403
calle;4598;0.995579336263456
duda;4569;0.995566596598509
da;4549;0.995553856933563
tampoco;4544;0.995541117268616
año;4536;0.995528377603669
viejo;4512;0.995515637938722
encima;4496;0.995502898273775
eres;4488;0.995490158608829
único;4461;0.995477418943882
boca;4459;0.995464679278935
hija;4453;0.995451939613988
hawkmoon;4446;0.995439199949041
vamos;4438;0.995426460284095
palabra;4425;0.995413720619148
debe;4397;0.995400980954201
ahí;4396;0.995388241289254
cielo;4383;0.995375501624307
respondió;4375;0.99536276195936
tenemos;4372;0.995350022294414
siquiera;4360;0.995337282629467
algunas;4348;0.99532454296452
hermano;4345;0.995311803299573
pesar;4331;0.995299063634626
número;4319;0.995279954137206
pasar;4319;0.995279954137206
quedó;4317;0.995260844639786
familia;4312;0.995248104974839
dejó;4297;0.995235365309892
tienes;4294;0.995222625644946
diez;4289;0.995209885979999
dado;4277;0.995197146315052
ellas;4262;0.995184406650105
ejemplo;4252;0.995165297152685
salir;4252;0.995165297152685
primero;4246;0.995146187655265
cerca;4242;0.995133447990318
fueron;4236;0.995120708325371
seguro;4235;0.995107968660424
principio;4202;0.995095228995477
igual;4192;0.995082489330531
empezó;4191;0.995069749665584
éste;4158;0.995057010000637
último;4138;0.99504427033569
cambio;4131;0.995031530670743
brazos;4120;0.995018791005797
llevaba;4118;0.99500605134085
mar;4025;0.994993311675903
tipo;4024;0.994980572010956
hijos;4023;0.994967832346009
pueblo;4022;0.994955092681063
millones;4005;0.994942353016116
levantó;3988;0.994929613351169
allá;3986;0.994916873686222
debía;3954;0.994904134021275
humanos;3933;0.994891394356328
siguiente;3916;0.994878654691382
instante;3910;0.994865915026435
través;3898;0.994853175361488
grande;3897;0.994840435696541
delante;3874;0.994827696031594
amigos;3871;0.994814956366648
capitán;3851;0.994802216701701
holmes;3847;0.994789477036754
cabo;3841;0.994776737371807
segundo;3826;0.99476399770686
alto;3817;0.99474488820944
sistema;3817;0.99474488820944
miedo;3808;0.994719408879546
sangre;3808;0.994719408879546
vi;3795;0.994700299382126
podemos;3775;0.99468755971718
atrás;3768;0.994674820052233
tenido;3767;0.994662080387286
propio;3759;0.994649340722339
llegado;3754;0.994630231224919
pequeño;3754;0.994630231224919
the;3750;0.994611121727499
propia;3744;0.994592012230078
